編號,公園名稱,里別,面積,類別,座落位置,使用分區,所在轄區,X座標,Y座標
1,黃昭堂公園,龍山里,1.22,鄰里公園,南31線下山漁港,區公所,七股區,120.113651,23.136122
2,下營公園(公兒1),後街里,0.98,鄰里公園,東興二街與水池街口,區公所,下營區,120.261805,23.239572
3,公二武承恩公園,仁里里,2.2025,區域公園,下營都市計畫區市中心,大型,下營區,120.260788,23.233328
4,公四,仁里里與宅內里,0.03,鄰里公園,永安街與蚵寮街內,區公所,下營區,120.258209,23.233551
5,西拉雅親子公園(非都已公告),頭社里,7.7,區域公園,台84線頭社交流道旁,大型,大內區,120.37344,23.140292
6,山上花園水道博物館-淨水池區,山上里,12.27,區域公園,台南市山上區新庄59之18號,大型,農業局,120.358036,23.089212
7,山上花園水道博物館-博物館區,山上里,36,區域公園,山上區南184與178甲路口,區公所,農業局,120.360285,23.096914
8,公兒2,山上里,0.21,鄰里公園,山上里與178東側,區公所,山上區,120.356981,23.099813
9,二府口公園(公71),南美里,0.1326,鄰里公園,友愛市場後,區公所,中西區,120.199332,22.991142
10,小西門圓環(綠2附),小西里,1.08,區域公園,西門路一段與府前路二段,大型,中西區,120.197861,22.990278
11,公C1中西區入口意象公園,大涼里,0.15,鄰里公園,民生路二段尾南側,區公所,中西區,120.186923,22.997707
12,民生里公63,民生里,0.091,鄰里公園,南華街巷內(武英街71號旁),區公所,中西區,120.191111,22.988778
13,光賢公園(公兒12),光賢里,0.43,鄰里公園,武聖路151巷50弄,區公所,中西區,120.189167,23.005278
14,西門圓環(綠3),天后里,0.84,區域公園,西門路與民族路,鄰里,中西區,120.200139,22.9975
15,西湖公園(公兒15),西湖里,0.84,鄰里公園,民權路四段頂美一街,區公所,中西區,120.183889,22.999167
16,西賢公園(公兒C7)(公兒18),西賢里,0.4,鄰里公園,西賢一街109巷,區公所,中西區,120.177501,23.002167
17,協和公園(公35),兌悅里,0.32,鄰里公園,民族路三段258號後面,區公所,中西區,120.193611,23.000556
18,和意公園,小西里,0.8868,鄰里公園,和意路(錢櫃對面),區公所,中西區,120.199173,22.988629
19,南門公園(公8),大南里,1.33,區域公園,南門路與樹林街,大型,中西區,120.204167,22.986111
20,烏橋公園(兒公5),大涼里,0.54,鄰里公園,府前路二段370號,區公所,中西區,120.188056,22.9925
21,烏橋運河西岸公園(公C2),大涼里,0.12,區域公園,府前路二段239號旁巷內,鄰里,中西區,120.191807,22.992778
22,頂美公園(公兒14),西湖里,0.64,鄰里公園,頂美三街230號前西側,區公所,中西區,120.185833,23.004722
23,頂湖公園(頂美段公兒C5),西湖里,0.53,鄰里公園,湖美一街143號旁,區公所,中西區,120.181278,23.004139
24,湖美公園(公兒17),西湖里,0.4271,鄰里公園,湖美一街42巷北側,區公所,中西區,120.181389,23.001222
25,湖美麗景公園(公38),西湖里,0.2087,鄰里公園,湖美二街100巷尾(湖美社區內),區公所,中西區,120.182917,23.002972
26,湯德章紀念公園(綠1),永華里,0.5,區域公園,民生路與中山路圓環,鄰里,中西區,120.205,22.992667
27,開山公園,開山里,0.2215,鄰里公園,府前路一段巷子內,區公所,中西區,120.209371,22.988047
28,運河星鑽自然生態公園,大涼里,1.83,區域公園,府前路二段258巷底,大型,中西區,120.19,22.995194
29,綠C1,安海里,0.0256,鄰里公園,府前一街與中華西路二段,區公所,中西區,120.186823,22.996959
30,公1仁義3號公園（仁德地區）,仁義里,0.41,鄰里公園,義林十街,區公所,仁德區,120.261239,22.972515
31,公兒1（仁德地區）,仁德里,0.77,鄰里公園,文南街,區公所,仁德區,120.238363,22.974791
32,公兒10（仁德地區）,仁義里,0.09,鄰里公園,義林六街與義林一街東側,區公所,仁德區,120.261781,22.969077
33,公兒11（仁德地區）,仁義里,0.09,鄰里公園,義林三街與義林一街東側,區公所,仁德區,120.2617,22.968677
34,公兒12仁中北公園（仁德地區）,仁德里,0.27,鄰里公園,仁中一街北側,區公所,仁德區,120.251851,22.965189
35,公兒13仁中公園（仁德地區）,仁德里,0.47,鄰里公園,仁中三街70巷,區公所,仁德區,120.25158,22.963945
36,公兒17（仁德地區）,仁德里,0.11,鄰里公園,文宏二街旁,區公所,仁德區,120.243761,22.974732
37,公兒2文心公園（仁德地區）,仁德里,0.77,鄰里公園,文善街與文心路口,區公所,仁德區,120.241989,22.974041
38,公兒2(南都)（德成公園）,成功里,0.3,鄰里公園,德成路上（文賢路與德成路中，近虎山橋）,區公所,仁德區,120.227037,22.940661
39,公兒3城光重劃區公園（仁德地區）,仁德里,0.21,鄰里公園,文宏路與文宏一街口,區公所,仁德區,120.243126,22.976747
40,公兒4（仁德地區）,仁德里,0.12,鄰里公園,文山路與裕華三街口,區公所,仁德區,120.246626,22.975631
41,公兒5（仁德地區）,仁德里,0.02,鄰里公園,文山路對側與沿高速公路,區公所,仁德區,120.248396,22.974525
42,公兒6仁義2號公園（仁德地區）,仁義里,0.14,鄰里公園,義林九街與義林十一街口,區公所,仁德區,120.26132,22.971532
43,公兒7（仁德地區）,仁義里,0.14,鄰里公園,義林七街與義林一街西側,區公所,仁德區,120.261416,22.969156
44,公兒8仁義1號公園（仁德地區）,仁義里,0.14,鄰里公園,義林三街與義林一街西側,區公所,仁德區,120.2614,22.968726
45,公兒9（仁德地區）,仁義里,0.09,鄰里公園,義林七街與義林一街東側,區公所,仁德區,120.261883,22.969551
46,台南都會公園,成功里,40.87,區域公園,86快速道路與台1線口，(103年移交文化局),大型,仁德區,120.222864,22.936767
47,公3(六甲運動公園),二甲里,3.26,區域公園,中山路與和平街口,區公所,六甲區,120.343815,23.231045
48,公兒11,二甲里,0.2569,鄰里公園,和平街與民權街口,區公所,六甲區,120.343276,23.22916
49,公一(蚵寮漁村民俗文化公園),保吉里,2.2231,區域公園,臺南市北門區保吉里4鄰蚵寮351號 ,大型,北門區,120.133118,23.285825
50,大和公園(公兒1),大和里,0.44288,鄰里公園,中華北路變電所邊,區公所,北區,120.189333,23.01575
51,大港公園(公兒4),大港里,0.476,鄰里公園,大興街192巷,區公所,北區,120.188413,23.012219
52,大興公園(公兒8)(公兒N30),大豐里,0.3004,鄰里公園,文賢路與大興街口(特力屋對面),區公所,北區,120.193563,23.01188
53,大豐公園(公兒9),大豐里,0.4853,鄰里公園,武聖路與和緯路黃昏市場旁,區公所,北區,120.187388,23.007413
54,小東公園(公5),東興里,4,區域公園,林森路三段與小東路口,大型,北區,120.224932,23.001479
55,小康公園(公兒5),小康里,0.5167,鄰里公園,實踐街(小康里文康中心旁),區公所,北區,120.216983,23.014744
56,中壇公園,福安里,0.1607,鄰里公園,北安路與北成路(福安宮旁),區公所,北區,120.206383,23.020665
57,元成公園(鄭子寮西公兒4),文元里,0.4444,鄰里公園,文成三路與文賢二街(文成三路與育德二街口),區公所,北區,120.196902,23.015388
58,元昌公園(鄭子寮西公兒7),文元里,0.5183,鄰里公園,文賢一路128巷與文賢二街,區公所,北區,120.196375,23.011125
59,元美公園(N40),文元里,0.21539,鄰里公園,文成路與海安路三段180巷口,區公所,北區,120.199314,23.013335
60,元寶桂花公園(兒童遊樂場用地),元寶里,1.1417,區域公園,北園街114巷底南側(北園公園對面),大型,北區,120.224041,23.012875
61,六甲公園,六甲里,0.2,鄰里公園,西門路四段200巷內,區公所,北區,120.208992,23.010372
62,文中公園(文元段公兒1),文元里,0.1991,鄰里公園,中華北路二段25巷與文賢路1180巷口,區公所,北區,120.194583,23.017763
63,文元公園(鄭子寮西公兒5),文元里,0.5551,鄰里公園,文成路與文賢三街(文成三路與育德三街口),區公所,北區,120.198152,23.012958
64,文成公園(公兒6),文元里,0.1749,鄰里公園,文成路與750巷口,區公所,北區,120.195911,23.012355
65,文靈公園(公兒3),文元里,0.364,鄰里公園,文賢路1122巷與文賢二街，(文靈宮旁),區公所,北區,120.197969,23.016638
66,北元公園(鄭子寮西公兒2),文元里,0.459,鄰里公園,海安路三段985巷與文成三路682巷,區公所,北區,120.198534,23.019194
67,北安公園(公兒5),成功里,0.196457,鄰里公園,北安路一段142巷27號,區公所,北區,120.209466,23.017391
68,北成公園(公兒3),成功里,0.19095,鄰里公園,北成路80巷2弄21號,區公所,北區,120.210994,23.019367
69,北園公園(公兒23),元寶里,0.5128,鄰里公園,北園街114巷底北側,區公所,北區,120.224119,23.013261
70,台南公園(公1),公園里,14.63,區域公園,公園路與公園南路與公園北路與北門路,大型,北區,120.212811,23.001116
71,正德公園(鄭子寮公兒4-5),成德里,0.3193,鄰里公園,北成路(荷蘭村汽車旅館旁),區公所,北區,120.20328,23.019355
72,永祥公園(公兒15、16、17),永祥里,1.8,區域公園,實踐街,大型,北區,120.219597,23.013916
73,立人公園,和順里,0.1006,鄰里公園,臨安路尾(大潤發量販店邊),區公所,北區,120.20232,23.004641
74,立德公園(鄭子寮公兒5),成德里,0.4801,鄰里公園,育德一街與立賢一段路口,區公所,北區,120.204936,23.009958
75,光武公園(延平段公兒32),光武里,0.9301,鄰里公園,北門路二段(近長榮路五段),區公所,北區,120.216597,23.012113
76,光武運動公園(延平段公兒33),光武里,0.3424,鄰里公園,北門路二段547巷78弄旭日街120巷口,區公所,北區,120.21455,23.011202
77,成功公園(公兒2),成功里,0.26785,鄰里公園,北成路128巷,區公所,北區,120.209854,23.020952
78,成德公園(公兒8),成德里,0.6331,鄰里公園,西門路四段(丹比後面),區公所,北區,120.206605,23.014405
79,孝德公園(鄭子寮東公兒6),成德里,0.5734,鄰里公園,文成三路與育德二路,區公所,北區,120.201494,23.016491
80,希望公園(公兒9),成德里,0.7833,鄰里公園,文成一路-育德街(和緯賓館邊),區公所,北區,120.204839,23.013823
81,育北公園(鄭子寮東公兒4),成德里,0.6726,鄰里公園,育德二路與育德二路777巷,區公所,北區,120.200783,23.020138
82,育德公園(公兒7),和順里,0.428,鄰里公園,民德路八十號,區公所,北區,120.201497,23.006747
83,和順公園,和順里,0.9394,鄰里公園,海安路與臨安路與公園南路,區公所,北區,120.201016,23.003744
84,延平公園(和緯林蔭步道),延平里,0.227,鄰里公園,和緯路一段與公園路交叉口,區公所,北區,120.211187,23.010714
85,東興綠邑公園(公兒6),東興里,0.247,鄰里公園,小東路307巷96弄1號與401巷口,區公所,北區,120.232198,23.000622
86,長榮公園(富台段公兒38),長榮里,0.8695,區域公園,開元路249巷21號前(近長榮路口),鄰里,北區,120.219392,23.00921
87,重興綠園(公兒N3),重興里,0.4477,鄰里公園,林森路3段140巷內(活動中心旁),區公所,北區,120.226198,23.00378
88,振興人文童話公園(N9),振興里,0.1698,鄰里公園,林森路三段171巷181號旁,區公所,北區,120.222737,23.007616
89,連雅堂紀念公園(公6),安民里,1.1058,區域公園,海安路與臨安路與公園南路口,大型,北區,120.198925,23.003091
90,凱德公園(鄭子寮東公兒7),成德里,0.5553,鄰里公園,育德二路與育德二街221巷口,區公所,北區,120.20495,23.015752
91,勝安香草運動公園(富台段公兒20),勝安里,0.8031,鄰里公園,開元路63巷旁,區公所,北區,120.216424,23.00613
92,華德公園(公兒4-2),成德里,0.2908,鄰里公園,中華北路2段196號旁,區公所,北區,120.203141,23.020958
93,陽光公園(公兒N80),承德里,0.2692,鄰里公園,民德路80巷與育德二路55巷交叉口,區公所,北區,120.202275,23.007823
94,順德公園(公兒11),成德里,0.3513,鄰里公園,北成路荷蘭村汽車旅館旁，中華北路2段194巷,區公所,北區,120.203225,23.019527
95,實踐公園(公兒17),實踐里,0.2,鄰里公園,實踐街(鐵路平交道旁),區公所,北區,120.219686,23.013544
96,實踐段公兒30,實踐里,0.1706,鄰里公園,大武街161號(活動中心後面),區公所,北區,120.2157,23.013472
97,福安公園(公兒4),成功里,0.4087,鄰里公園,北成路80巷22弄底(北成路186巷與北安路一段372巷),區公所,北區,120.207827,23.021408
98,福成公園(公兒N79),成功里,0.2154,鄰里公園,北成路與北成路186巷口,區公所,北區,120.207696,23.020531
99,福德公園(公兒4-10),成德里,0.5472,鄰里公園,文成路與育德三街,區公所,北區,120.202383,23.013363
100,賢北公園(公兒3),賢北里,0.4255,鄰里公園,賢北街十五巷,區公所,北區,120.182555,23.006141
101,賢良公園(公兒2),賢北里,0.8386,鄰里公園,賢北街二十九號,區公所,北區,120.183317,23.008158
102,鄭子寮公園(公兒3),成德里,0.38,鄰里公園,北安路一段(北安橋南側),區公所,北區,120.205305,23.020286
103,興北公園(公兒26),興北里,0.1746,鄰里公園,公園路634巷108號(活動中心旁),區公所,北區,120.21229,23.008039
104,豐興公園(公兒5),東興里,0.1617,鄰里公園,東豐路尾(桌球館斜對面),區公所,北區,120.227556,23.001632
105,左鎭休閒公園,睦光里,0.99,鄰里公園,內庄子段5-15號,區公所,左鎮區,120.421692,23.065895
106,小橋公園(大橋地區公3廣1),東橋里,2.36,區域公園,東橋里東橋十街158號,大型,永康區,120.23355,23.022536
107,公2(六甲頂),安康里,0.23,鄰里公園,中華西街230巷旁,區公所,永康區,120.226246,23.01742
108,公3,大橋里,0.1213,鄰里公園,大橋一街73巷49號前,區公所,永康區,120.227694,23.018544
109,公兒10-1,崑山里,0.24,鄰里公園,國光三街38號對面(崑山街143巷邊),區公所,永康區,120.258755,23.003897
110,公兒16-3,二王里,0.19,鄰里公園,中山南路544巷50號對面,區公所,永康區,120.242288,23.017908
111,公兒17-2,光復里,0.24,鄰里公園,復興路128巷58號對面,區公所,永康區,120.245402,22.998988
112,公兒18-1,復華里,0.4,鄰里公園,國華街與復華七街交叉口,區公所,永康區,120.247157,23.014144
113,公兒4-1,正強里,0.2,鄰里公園,中正路29巷1號,區公所,永康區,120.255142,23.029083
114,公兒4-5,永康里,0.24,鄰里公園,永平路與永華路交叉口,區公所,永康區,120.258913,23.022225
115,公兒9-1,西灣里,0.2,鄰里公園,國光八街與大勇路交叉口,區公所,永康區,120.260765,23.010063
116,公兒9-2,西灣里,0.27,鄰里公園,永華路201巷12號(西灣里活動中心),區公所,永康區,120.259018,23.010416
117,公兒9-3,西灣里,0.19,鄰里公園,國光六街49號對面,區公所,永康區,120.260712,23.007359
118,公兒公園,建國里,0.24,鄰里公園,復興路33巷內(崑山學園旁),區公所,永康區,120.249529,22.997482
119,永欣公園(公兒14-1),鹽洲里,0.14,鄰里公園,三村二街55號旁,區公所,永康區,120.237744,23.044808
120,永康公園,復興里,5.62,區域公園,興國街100號,大型,永康區,120.242805,23.00318
121,兒1,東橋里,0.25,鄰里公園,東橋五路及東橋十二街交叉口,區公所,永康區,120.234035,23.024449
122,兒10公園,中華里,0.1918,鄰里公園,忠義街42號對面,區公所,永康區,120.23639,22.999666
123,兒2,東橋里,0.74,鄰里公園,東橋十街靠近砲校圍牆邊,區公所,永康區,120.236479,23.024332
124,兒3廣10(大橋地區),東橋里,0.54,鄰里公園,東橋一路178號南側,區公所,永康區,120.23439,23.018255
125,兒9公園,中華里,0.2101,鄰里公園,小東路647巷55號旁,區公所,永康區,120.238319,23.03524
126,東橋2號公園,東橋里,0.486,鄰里公園,東橋7路151號旁,區公所,永康區,120.23746,23.019758
127,洲仔尾公園（公7永欣公園）,鹽洲里,0.53,鄰里公園,洲尾街107號邊公園,區公所,永康區,120.229145,23.038043
128,探索公園,永康里,2.2,區域公園,永華路與永平街與永大五路與永興路街廓,大型,永康區,120.25882,23.021731
129,祥合公園,勝利里,1.37,區域公園,永康區中華二路270號對面,區公所,永康區,120.233156,23.00794
130,安康公園細公1(六甲頂),安康里,0.15,鄰里公園,中華西街122巷31號對面,區公所,永康區,120.227652,23.015407
131,細公3(六甲頂),大橋里,0.34,鄰里公園,大橋三街230號,區公所,永康區,120.228702,23.020979
132,綠二公園,西橋里,0.07,鄰里公園,中山南路43巷25號,區公所,永康區,120.226438,23.012822
133,龍中公園(公兒1-1),埔園里,0.91,鄰里公園,龍中街與竹南街交叉口附近,區公所,永康區,120.261169,23.038607
134,噍吧哖紀念公園(公兒2),玉田里,1.88,鄰里公園,玉井分局對面,區公所,玉井區,120.457937,23.119301
135,白河區二號公園(公2),白河里,1.09,鄰里公園,康樂路與富民路北側,區公所,白河區,120.417227,23.345979
136,店仔口景觀公園(公3),白河里,2.07,鄰里公園,康樂路與富民路南側,區公所,白河區,120.417507,23.345091
137,公兒1,白河里,0.31,鄰里公園,康樂路與新起街內,區公所,白河區,120.416331,23.348
138,文平公園,文平里,0.54,鄰里公園,中華西路二段1號,區公所,安平區,120.18593,22.986591
139,二二八紀念公園(公5),建平里,0.9,區域公園,建平路與平通路與建平九街口,鄰里,安平區,120.182629,22.991275
140,世平公園1號(公9),金城里,1.35,區域公園,安平一路與世平路口,大型,安平區,120.14919,22.997398
141,世平公園2號,金城里,0.22,鄰里公園,世平路西邊,區公所,安平區,120.148897,22.996611
142,四季公園南段(公1),王城里,0.2,鄰里公園,安平路850巷與安北路交叉口,區公所,安平區,120.158402,23.00198
143,平安公園,平安里,0.09,鄰里公園,安平路550巷與民權路交叉口,區公所,安平區,120.171454,23.000353
144,平通公園(兒公11),平通里,0.55,鄰里公園,平通路580巷102號,區公所,安平區,120.170751,22.995729
145,永華公園,文平里,0.37,鄰里公園,永華二街,區公所,安平區,120.184127,22.985375
146,石門公園,天妃里,0.116,鄰里公園,安北路103巷7弄,區公所,安平區,120.165578,23.000922
147,石門體育公園,天妃里,0.2026,鄰里公園,安北路40巷東邊(臨一期綠帶),區公所,安平區,120.167966,23.001011
148,石珠公園(東瑩高爾夫球場)(公4及兒公7)(現為公AP2及公兒AP8),文平里,1.04,區域公園,文平路與建平五街,大型,安平區,120.180343,22.987426
149,石頭公園,國平里,0.83,鄰里公園,建平一街,區公所,安平區,120.176248,22.984603
150,光州公園(公兒13)(原大世界公園),億載里,0.87,鄰里公園,光州一街29號,區公所,安平區,120.162952,22.986411
151,育平公園,育平里,0.61,鄰里公園,健康三街,區公所,安平區,120.167892,22.98773
152,府平公園(公13),國平里,4.7,區域公園,健康二街.府平路,大型,安平區,120.172108,22.988202
153,怡平公園,怡平里,0.8,鄰里公園,平通路與永華六街口,區公所,安平區,120.176493,22.99271
154,林默娘紀念公園(公5),億載里,2,區域公園,安億路旁(安億路與光州路口),大型,安平區,120.157988,22.993736
155,建平公園(兒公6),建平里,0.868,鄰里公園,府前四街與府前三街,區公所,安平區,120.1853,22.994066
156,馬雅各長青公園(公62),文平里,1.8,區域公園,建平路與健康路(長青公寓旁),大型,安平區,120.182348,22.984307
157,國平公園,國平里,0.74,鄰里公園,建平七街409號,區公所,安平區,120.175919,22.988925
158,國平自辦市地重劃區公81,國平里,1.7555,鄰里公園,健康路三段南邊,大型,安平區,120.168916,22.984431
159,國平自辦市地重劃區綠24,國平里,0.7821,鄰里公園,緊鄰健康路三段南側,區公所,安平區,120.166919,22.98475
160,港濱歷史公園(公5),億載里,6.5,區域公園,安億路旁,大型,安平區,120.163273,22.995723
161,湖濱水鳥公園(公1)(公34),西門里,8.8,區域公園,王成路旁(鹽水溪畔),大型,安平區,120.154102,23.002767
162,華平公園(舊苗圃)(公72),華平里,1.2,區域公園,國平路與育平九街,大型,安平區,120.17171,22.994697
